image_id,center_lng,center_lat,nadir_lng,nadir_lat,corner1_lng,corner1_lat,corner2_lng,corner2_lat,corner3_lng,corner3_lat,corner4_lng,corner4_lat,altitude,lens_size,frame_width,frame_height,taken_utc,mission_name,orbit_num,image_page,image_link,kml_link,schools
"23108","-163.7824","24.2734","-163.7824","24.2734","-163.654","25.2744","-162.7336","24.5564","-163.9082","23.2908","-164.826","24.0008","401.466","50","184.585","122.396","2012-07-09 17:44:24","2012 - July Mission","2151","http://images.earthkam.ucsd.edu/main.php?g2_itemId=119573","http://images.earthkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=119574","https://earthkam.ucsd.edu/misc/kml/kml_generator.php?ccfcommand_id=23108","UCSD"
"23108","-163.7824","24.2734","-163.7824","24.2734","-163.654","25.2744","-162.7336","24.5564","-163.9082","23.2908","-164.826","24.0008","401.466","50","184.585","122.396","2012-07-09 17:44:24","2012 - July Mission","2151","http://images.earthkam.ucsd.edu/main.php?g2_itemId=119573","http://images.earthkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=119574","https://earthkam.ucsd.edu/misc/kml/kml_generator.php?ccfcommand_id=23108","UCSD"
"23109","-161.941133333333","26.219","-161.941133333333","26.219","-161.792066666667","27.2178666666667","-160.870066666667","26.4862","-162.0862","25.2391333333333","-163.0062","25.9618","401.487","50","184.547","122.379","2012-07-09 17:45:05","2012 - July Mission","2151","http://images.earthkam.ucsd.edu/main.php?g2_itemId=119581","http://images.earthkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=119582","https://earthkam.ucsd.edu/misc/kml/kml_generator.php?ccfcommand_id=23109","Burgaw Middle"
"23109","-161.941133333333","26.219","-161.941133333333","26.219","-161.792066666667","27.2178666666667","-160.870066666667","26.4862","-162.0862","25.2391333333333","-163.0062","25.9618","401.487","50","184.547","122.379","2012-07-09 17:45:05","2012 - July Mission","2151","http://images.earthkam.ucsd.edu/main.php?g2_itemId=119581","http://images.earthkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=119582","https://earthkam.ucsd.edu/misc/kml/kml_generator.php?ccfcommand_id=23109","Burgaw Middle"
"23110","-123.2904","48.792","-123.2904","48.792","-122.3996","49.6128","-121.8232","48.5772","-124.1512","47.9882","-124.7702","49.0116","402.569","50","184.333","122.578","2012-07-09 17:55:06","2012 - July Mission","2151","http://images.earthkam.ucsd.edu/main.php?g2_itemId=119588","http://images.earthkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=119589","https://earthkam.ucsd.edu/misc/kml/kml_generator.php?ccfcommand_id=23110","UCSD"
"23110","-123.2904","48.792","-123.2904","48.792","-122.3996","49.6128","-121.8232","48.5772","-124.1512","47.9882","-124.7702","49.0116","402.569","50","184.333","122.578","2012-07-09 17:55:06","2012 - July Mission","2151","http://images.earthkam.ucsd.edu/main.php?g2_itemId=119588","http://images.earthkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=119589","https://earthkam.ucsd.edu/misc/kml/kml_generator.php?ccfcommand_id=23110","UCSD"
"23111","-121.869333333333","49.1394666666667","-121.869333333333","49.1394666666667","-120.947333333333","49.9482666666667","-120.4008","48.9044","-122.761066666667","48.3474","-123.353133333333","49.3785333333333","402.567","50","184.279","122.590","2012-07-09 17:55:22","2012 - July Mission","2151","http://images.earthkam.ucsd.edu/main.php?g2_itemId=119595","http://images.earthkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=119596","https://earthkam.ucsd.edu/misc/kml/kml_generator.php?ccfcommand_id=23111","Burgaw Middle,UCSD"
"23111","-121.869333333333","49.1394666666667","-121.869333333333","49.1394666666667","-120.947333333333","49.9482666666667","-120.4008","48.9044","-122.761066666667","48.3474","-123.353133333333","49.3785333333333","402.567","50","184.279","122.590","2012-07-09 17:55:22","2012 - July Mission","2151","http://images.earthkam.ucsd.edu/main.php?g2_itemId=119595","http://images.earthkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=119596","https://earthkam.ucsd.edu/misc/kml/kml_generator.php?ccfcommand_id=23111","Burgaw Middle,UCSD"
"23112","-120.972666666667","49.3481333333333","-120.972666666667","49.3481333333333","-120.030666666667","50.1489333333333","-119.5028","49.1004","-121.883733333333","48.5634","-122.458466666667","49.5998666666667","402.564","50","184.291","122.624","2012-07-09 17:55:32","2012 - July Mission","2151","http://images.earthkam.ucsd.edu/main.php?g2_itemId=119602","http://images.earthkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=119603","https://earthkam.ucsd.edu/misc/kml/kml_generator.php?ccfcommand_id=23112","UCSD"
"23112","-120.972666666667","49.3481333333333","-120.972666666667","49.3481333333333","-120.030666666667","50.1489333333333","-119.5028","49.1004","-121.883733333333","48.5634","-122.458466666667","49.5998666666667","402.564","50","184.291","122.624","2012-07-09 17:55:32","2012 - July Mission","2151","http://images.earthkam.ucsd.edu/main.php?g2_itemId=119602","http://images.earthkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=119603","https://earthkam.ucsd.edu/misc/kml/kml_generator.php?ccfcommand_id=23112","UCSD"
"23113","-98.2957333333333","51.7944666666667","-98.2957333333333","51.7944666666667","-96.9396","52.3473333333333","-96.9759333333333","51.2468666666667","-99.6174","51.2486","-99.6490666666667","52.3496","402.028","50","183.936","122.418","2012-07-09 17:59:26","2012 - July Mission","2151","http://images.earthkam.ucsd.edu/main.php?g2_itemId=119609","http://images.earthkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=119610","https://earthkam.ucsd.edu/misc/kml/kml_generator.php?ccfcommand_id=23113","UCSD"
"23113","-98.2957333333333","51.7944666666667","-98.2957333333333","51.7944666666667","-96.9396","52.3473333333333","-96.9759333333333","51.2468666666667","-99.6174","51.2486","-99.6490666666667","52.3496","402.028","50","183.936","122.418","2012-07-09 17:59:26","2012 - July Mission","2151","http://images.earthkam.ucsd.edu/main.php?g2_itemId=119609","http://images.earthkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=119610","https://earthkam.ucsd.edu/misc/kml/kml_generator.php?ccfcommand_id=23113","UCSD"
"23114","-95.182","51.7468","-95.182","51.7468","-93.7888","52.2604","-93.9068","51.162","-96.5422","51.2402","-96.4918","52.3406","401.888","50","183.909","122.407","2012-07-09 17:59:57","2012 - July Mission","2151","http://images.earthkam.ucsd.edu/main.php?g2_itemId=119616","http://images.earthkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=119617","https://earthkam.ucsd.edu/misc/kml/kml_generator.php?ccfcommand_id=23114","UCSD"
"23114","-95.182","51.7468","-95.182","51.7468","-93.7888","52.2604","-93.9068","51.162","-96.5422","51.2402","-96.4918","52.3406","401.888","50","183.909","122.407","2012-07-09 17:59:57","2012 - July Mission","2151","http://images.earthkam.ucsd.edu/main.php?g2_itemId=119616","http://images.earthkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=119617","https://earthkam.ucsd.edu/misc/kml/kml_generator.php?ccfcommand_id=23114","UCSD"
"23115","-71.487","48.2609333333333","-71.487","48.2609333333333","-70.0228666666667","48.4511333333333","-70.6737333333333","47.4455333333333","-72.9389333333333","48.0747333333333","-72.3272666666667","49.0936","400.223","50","183.275","121.885","2012-07-09 18:04:07","2012 - July Mission","2151","http://images.earthkam.ucsd.edu/main.php?g2_itemId=119623","http://images.earthkam.ucsd.edu/main.php?g2_view=core.DownloadItem&g2_itemId=119624","https://earthkam.ucsd.edu/misc/kml/kml_generator.php?ccfcommand_id=23115","UCSD"
